Bat,Tree,HOBO,Date_Time,Temp_F,Temp_C,High-Res Temp (*F) c:1 2,High-Res Temp (*C) c:1 2,Dew Point (*F) c:1 3,Dew Point (*C) c:1 3,Abs Humidity (gm/M3) c:1 3,RH (%) c:3
151.227,GSM2014-13,861143,07/27/14 00:04:27.0,80.12,26.73,79.98,26.66,67.38,19.65,16.5,65.2
151.227,GSM2014-13,861143,07/27/14 00:34:27.0,79.41,26.34,79.1,26.17,67.4,19.67,16.6,66.8
151.227,GSM2014-13,861143,07/27/14 01:04:27.0,78.01,25.56,78.18,25.66,66.72,19.29,16.2,68.3
151.227,GSM2014-13,861143,07/27/14 01:34:27.0,76.62,24.79,76.87,24.93,68.74,20.41,17.4,76.7
151.227,GSM2014-13,861143,07/27/14 02:04:27.0,77.31,25.17,77.35,25.2,70.32,21.29,18.4,79.1
151.227,GSM2014-13,861143,07/27/14 02:34:27.0,78.01,25.56,78.27,25.71,70.1,21.16,18.2,76.7
151.227,GSM2014-13,861143,07/27/14 03:04:27.0,78.71,25.95,78.62,25.9,69.84,21.02,18,74.3
151.227,GSM2014-13,861143,07/27/14 03:34:27.0,78.01,25.56,78.1,25.61,66.08,18.93,15.9,66.8
151.227,GSM2014-13,861143,07/27/14 04:04:27.0,77.31,25.17,77.35,25.2,65.42,18.56,15.5,66.8
151.227,GSM2014-13,861143,07/27/14 04:34:27.0,77.31,25.17,77.14,25.08,65.62,18.68,15.6,67.3
151.227,GSM2014-13,861143,07/27/14 05:04:27.0,77.31,25.17,77.09,25.05,66.48,19.15,16.1,69.3
151.227,GSM2014-13,861143,07/27/14 05:34:27.0,77.31,25.17,77,25,67.08,19.49,16.4,70.8
151.227,GSM2014-13,861143,07/27/14 06:04:27.0,76.62,24.79,76.92,24.95,66.82,19.35,16.3,71.8
151.227,GSM2014-13,861143,07/27/14 06:34:27.0,76.62,24.79,76.79,24.88,67.02,19.46,16.4,72.3
151.227,GSM2014-13,861143,07/27/14 07:04:27.0,76.62,24.79,76.7,24.83,67.22,19.57,16.5,72.8
151.227,GSM2014-13,861143,07/27/14 07:34:27.0,76.62,24.79,76.57,24.76,67.42,19.68,16.7,73.3
151.227,GSM2014-13,861143,07/27/14 08:04:27.0,76.62,24.79,76.48,24.71,67.82,19.9,16.9,74.3
151.227,GSM2014-13,861143,07/27/14 08:34:27.0,76.62,24.79,76.48,24.71,68.2,20.12,17.1,75.3
151.227,GSM2014-13,861143,07/27/14 09:04:27.0,76.62,24.79,76.48,24.71,68.2,20.12,17.1,75.3
151.227,GSM2014-13,861143,07/27/14 09:34:27.0,76.62,24.79,76.66,24.81,68.6,20.33,17.3,76.3
151.227,GSM2014-13,861143,07/27/14 10:04:27.0,77.31,25.17,77.05,25.03,69.42,20.79,17.8,76.7
151.227,GSM2014-13,861143,07/27/14 10:34:27.0,78.71,25.95,78.71,25.95,60.88,16.04,13.2,54.4
151.227,GSM2014-13,861143,07/27/14 11:04:27.0,77.31,25.17,77.35,25.2,73.1,22.83,20.2,86.9
151.227,GSM2014-13,861143,07/27/14 11:34:27.0,79.41,26.34,79.24,26.24,75.34,24.08,21.7,87.4
151.227,GSM2014-13,861143,07/27/14 12:04:27.0,80.82,27.12,81,27.22,76.56,24.75,22.5,86.9
151.227,GSM2014-13,861143,07/27/14 12:34:27.0,81.53,27.52,81.22,27.34,78.14,25.63,23.7,89.5
151.227,GSM2014-13,861143,07/27/14 13:04:27.0,82.24,27.91,82.37,27.98,78.12,25.62,23.6,87.4
151.227,GSM2014-13,861143,07/27/14 13:34:27.0,83.67,28.7,83.84,28.8,77.58,25.32,23.2,82
151.227,GSM2014-13,861143,07/27/14 14:04:27.0,86.55,30.31,86.46,30.25,80.2,26.78,25.1,81.5
151.227,GSM2014-13,861143,07/27/14 14:34:27.0,86.55,30.31,86.91,30.51,77.58,25.33,23,74.8
151.227,GSM2014-13,861143,07/27/14 15:04:27.0,86.55,30.31,86.73,30.4,77.78,25.44,23.2,75.3
151.227,GSM2014-13,861143,07/27/14 15:34:27.0,86.55,30.31,86.59,30.33,76.36,24.64,22.1,71.8
151.227,GSM2014-13,861143,07/27/14 16:04:27.0,85.1,29.5,85.19,29.55,74.54,23.64,20.9,70.8
151.227,GSM2014-13,861143,07/27/14 16:34:27.0,87.28,30.71,86.96,30.53,71.24,21.8,18.6,59.1
151.227,GSM2014-13,861143,07/27/14 17:04:27.0,87.28,30.71,86.96,30.53,72.22,22.34,19.2,61.1
151.227,GSM2014-13,861143,07/27/14 17:34:27.0,86.55,30.31,86.59,30.33,69.24,20.69,17.4,56.5
151.227,GSM2014-13,861143,07/27/14 18:04:27.0,85.83,29.9,85.6,29.78,70.12,21.18,18,59.6
151.227,GSM2014-13,861143,07/27/14 18:34:27.0,84.38,29.1,84.11,28.95,71.18,21.77,18.7,64.7
151.227,GSM2014-13,861143,07/27/14 19:04:27.0,82.95,28.31,82.82,28.23,71.2,21.78,18.7,67.8
151.227,GSM2014-13,861143,07/27/14 19:34:27.0,81.53,27.52,81.62,27.57,71.54,21.97,19,71.8
151.227,GSM2014-13,861143,07/27/14 20:04:27.0,81.53,27.52,81.48,27.49,70.92,21.62,18.6,70.3
151.227,GSM2014-13,861143,07/27/14 20:34:27.0,80.82,27.12,81,27.22,71.68,22.04,19.1,73.8
151.227,GSM2014-13,861143,07/27/14 21:04:27.0,80.82,27.12,80.51,26.95,72.46,22.48,19.6,75.8
151.227,GSM2014-13,861143,07/27/14 21:34:27.0,76.62,24.79,76.57,24.76,68.74,20.41,17.4,76.7
151.227,GSM2014-13,861143,07/27/14 22:04:27.0,75.22,24.01,75.44,24.13,68.98,20.55,17.6,81
151.227,GSM2014-13,861143,07/27/14 22:34:27.0,73.84,23.24,74.14,23.41,67.14,19.52,16.6,79.6
151.227,GSM2014-13,861143,07/27/14 23:04:27.0,73.84,23.24,73.62,23.12,68.94,20.52,17.6,84.7
151.227,GSM2014-13,861143,07/27/14 23:34:27.0,73.15,22.86,73.36,22.98,68.58,20.32,17.4,85.6
151.227,GSM2014-13,861143,07/28/14 00:04:27.0,75.22,24.01,75.18,23.99,71.06,21.7,18.9,86.9
151.227,GSM2014-13,861143,07/28/14 00:34:27.0,78.01,25.56,78.36,25.75,71.18,21.77,18.9,79.6
151.227,GSM2014-13,861143,07/28/14 01:04:27.0,79.41,26.34,79.5,26.39,72.54,22.53,19.7,79.6
151.227,GSM2014-13,861143,07/28/14 01:34:27.0,71.77,22.09,71.72,22.07,70.28,21.27,18.5,95.1
151.227,GSM2014-13,861143,07/28/14 02:04:27.0,69.71,20.95,70,21.11,69.7,20.95,18.3,100.1
