Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,Day,Date_Time,BPM
150.073,MYSE,8443,2014/08/01,2014/07/29,17:34:30,1,Day,7/29/14 17:34,20
150.073,MYSE,8443,2014/08/01,2014/07/29,17:34:33,1,Day,7/29/14 17:34,20
150.073,MYSE,8443,2014/08/01,2014/07/29,17:35:29,1,Day,7/29/14 17:35,20.3
150.073,MYSE,8443,2014/08/01,2014/07/29,17:35:32,1,Day,7/29/14 17:35,20.3
150.073,MYSE,8443,2014/08/01,2014/07/29,17:37:35,1,Day,7/29/14 17:37,20.6
150.073,MYSE,8443,2014/08/01,2014/07/29,17:38:30,1,Day,7/29/14 17:38,20.7
150.073,MYSE,8443,2014/08/01,2014/07/29,17:38:33,1,Day,7/29/14 17:38,20.7
150.073,MYSE,8443,2014/08/01,2014/07/29,17:39:31,1,Day,7/29/14 17:39,20.9
150.073,MYSE,8443,2014/08/01,2014/07/29,17:40:28,1,Day,7/29/14 17:40,20.9
150.073,MYSE,8443,2014/08/01,2014/07/29,17:40:31,1,Day,7/29/14 17:40,21
150.073,MYSE,8443,2014/08/01,2014/07/29,17:40:34,1,Day,7/29/14 17:40,21
150.073,MYSE,8443,2014/08/01,2014/07/29,17:41:31,1,Day,7/29/14 17:41,21.1
150.073,MYSE,8443,2014/08/01,2014/07/29,17:41:34,1,Day,7/29/14 17:41,21.1
150.073,MYSE,8443,2014/08/01,2014/07/29,17:42:28,1,Day,7/29/14 17:42,21.1
150.073,MYSE,8443,2014/08/01,2014/07/29,17:42:31,1,Day,7/29/14 17:42,21.1
150.073,MYSE,8443,2014/08/01,2014/07/29,17:42:34,1,Day,7/29/14 17:42,21.1
150.073,MYSE,8443,2014/08/01,2014/07/29,17:43:28,1,Day,7/29/14 17:43,20.4
150.073,MYSE,8443,2014/08/01,2014/07/29,17:43:31,1,Day,7/29/14 17:43,20.3
150.073,MYSE,8443,2014/08/01,2014/07/29,17:43:34,1,Day,7/29/14 17:43,20.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:00:18,1,Day,7/30/14 6:00,15.7
150.073,MYSE,8443,2014/08/01,2014/07/30,06:00:22,1,Day,7/30/14 6:00,15.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:01:19,1,Day,7/30/14 6:01,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:01:23,1,Day,7/30/14 6:01,15.4
150.073,MYSE,8443,2014/08/01,2014/07/30,06:02:21,1,Day,7/30/14 6:02,16.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:03:19,1,Day,7/30/14 6:03,16.3
150.073,MYSE,8443,2014/08/01,2014/07/30,06:03:23,1,Day,7/30/14 6:03,15.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:04:18,1,Day,7/30/14 6:04,16.4
150.073,MYSE,8443,2014/08/01,2014/07/30,06:04:22,1,Day,7/30/14 6:04,15.8
150.073,MYSE,8443,2014/08/01,2014/07/30,06:05:21,1,Day,7/30/14 6:05,18.2
150.073,MYSE,8443,2014/08/01,2014/07/30,06:05:24,1,Day,7/30/14 6:05,19
150.073,MYSE,8443,2014/08/01,2014/07/30,06:06:21,1,Day,7/30/14 6:06,15.5
150.073,MYSE,8443,2014/08/01,2014/07/30,06:07:18,1,Day,7/30/14 6:07,16.2
150.073,MYSE,8443,2014/08/01,2014/07/30,06:07:22,1,Day,7/30/14 6:07,16.6
150.073,MYSE,8443,2014/08/01,2014/07/30,06:08:19,1,Day,7/30/14 6:08,18
150.073,MYSE,8443,2014/08/01,2014/07/30,06:08:23,1,Day,7/30/14 6:08,17.9
150.073,MYSE,8443,2014/08/01,2014/07/30,06:09:20,1,Day,7/30/14 6:09,19.7
150.073,MYSE,8443,2014/08/01,2014/07/30,06:09:23,1,Day,7/30/14 6:09,20.1
