Bat freq,Species,Datalogger,Download date,Recording date,Time,Channel,BPM,Antenna,Power,Day,Date_Time,Temp
150.189,MYSE,8322,7/15/2014,7/11/2014,18:10:22,4,19,AH0,182,Day,7/11/2014 18:10,22.9999
150.189,MYSE,8322,7/15/2014,7/11/2014,18:10:25,4,19,AH0,159,Day,7/11/2014 18:10,22.9999
150.189,MYSE,8322,7/15/2014,7/11/2014,18:10:40,4,19,AH0,172,Day,7/11/2014 18:10,22.9999
150.189,MYSE,8322,7/15/2014,7/11/2014,18:10:43,4,19,AH0,169,Day,7/11/2014 18:10,22.9999
150.189,MYSE,8322,7/15/2014,7/11/2014,18:10:46,4,19,AH0,175,Day,7/11/2014 18:10,22.9999
150.189,MYSE,8322,7/15/2014,7/11/2014,18:11:02,4,19,AH0,165,Day,7/11/2014 18:11,22.9999
150.189,MYSE,8322,7/15/2014,7/11/2014,18:11:05,4,19,AH0,175,Day,7/11/2014 18:11,22.9999
150.189,MYSE,8322,7/15/2014,7/11/2014,18:11:21,4,18.9,AH0,156,Day,7/11/2014 18:11,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:11:24,4,18.9,AH0,156,Day,7/11/2014 18:11,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:11:40,4,18.9,AH0,157,Day,7/11/2014 18:11,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:11:43,4,18.9,AH0,154,Day,7/11/2014 18:11,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:11:46,4,18.9,AH0,152,Day,7/11/2014 18:11,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:12:02,4,18.9,AH0,187,Day,7/11/2014 18:12,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:12:05,4,18.9,AH0,171,Day,7/11/2014 18:12,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:12:21,4,18.9,AH0,167,Day,7/11/2014 18:12,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:12:24,4,18.9,AH0,169,Day,7/11/2014 18:12,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:12:40,4,18.9,AH0,199,Day,7/11/2014 18:12,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:12:43,4,18.9,AH0,201,Day,7/11/2014 18:12,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:13:02,4,18.9,AH0,196,Day,7/11/2014 18:13,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:13:05,4,18.9,AH0,194,Day,7/11/2014 18:13,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:13:21,4,18.9,AH0,201,Day,7/11/2014 18:13,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:13:24,4,18.9,AH0,198,Day,7/11/2014 18:13,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:13:40,4,18.9,AH0,196,Day,7/11/2014 18:13,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:13:44,4,18.9,AH0,193,Day,7/11/2014 18:13,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:14:03,4,18.9,AH0,185,Day,7/11/2014 18:14,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:14:06,4,18.9,AH0,187,Day,7/11/2014 18:14,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:14:22,4,18.9,AH0,185,Day,7/11/2014 18:14,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:14:25,4,18.9,AH0,194,Day,7/11/2014 18:14,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:14:41,4,18.9,AH0,207,Day,7/11/2014 18:14,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:14:44,4,18.9,AH0,210,Day,7/11/2014 18:14,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:15:00,4,18.9,AH0,215,Day,7/11/2014 18:15,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:15:03,4,18.9,AH0,216,Day,7/11/2014 18:15,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:15:06,4,18.9,AH0,216,Day,7/11/2014 18:15,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:15:22,4,18.9,AH0,197,Day,7/11/2014 18:15,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:15:25,4,18.9,AH0,174,Day,7/11/2014 18:15,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:15:41,4,18.9,AH0,198,Day,7/11/2014 18:15,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:15:44,4,18.9,AH0,200,Day,7/11/2014 18:15,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:16:00,4,18.9,AH0,182,Day,7/11/2014 18:16,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:16:03,4,18.9,AH0,168,Day,7/11/2014 18:16,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:16:06,4,18.9,AH0,175,Day,7/11/2014 18:16,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:16:22,4,18.9,AH0,214,Day,7/11/2014 18:16,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:16:25,4,18.9,AH0,213,Day,7/11/2014 18:16,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:16:41,4,18.9,AH0,207,Day,7/11/2014 18:16,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:16:44,4,18.9,AH0,207,Day,7/11/2014 18:16,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:17:00,4,18.9,AH0,171,Day,7/11/2014 18:17,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:17:03,4,18.9,AH0,184,Day,7/11/2014 18:17,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:17:22,4,18.9,AH0,162,Day,7/11/2014 18:17,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:17:26,4,18.9,AH0,145,Day,7/11/2014 18:17,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:17:41,4,18.9,AH0,145,Day,7/11/2014 18:17,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:17:45,4,18.9,AH0,146,Day,7/11/2014 18:17,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:18:00,4,18.9,AH0,145,Day,7/11/2014 18:18,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:18:04,4,18.9,AH0,145,Day,7/11/2014 18:18,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:18:20,4,18.9,AH0,130,Day,7/11/2014 18:18,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:18:23,4,18.9,AH0,130,Day,7/11/2014 18:18,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:18:26,4,18.9,AH0,125,Day,7/11/2014 18:18,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:18:42,4,18.8,AH0,134,Day,7/11/2014 18:18,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:18:45,4,18.9,AH0,136,Day,7/11/2014 18:18,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:19:01,4,18.8,AH0,132,Day,7/11/2014 18:19,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:19:04,4,18.8,AH0,136,Day,7/11/2014 18:19,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:19:20,4,18.8,AH0,137,Day,7/11/2014 18:19,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:19:23,4,18.8,AH0,136,Day,7/11/2014 18:19,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:19:42,4,18.8,AH0,132,Day,7/11/2014 18:19,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:19:46,4,18.8,AH0,136,Day,7/11/2014 18:19,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:20:02,4,18.8,AH0,196,Day,7/11/2014 18:20,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:20:05,4,18.8,AH0,192,Day,7/11/2014 18:20,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:20:21,4,18.8,AH0,96,Day,7/11/2014 18:20,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:20:24,4,18.8,AH0,81,Day,7/11/2014 18:20,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:20:40,4,18.8,AH0,140,Day,7/11/2014 18:20,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:20:43,4,18.8,AH0,144,Day,7/11/2014 18:20,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:21:02,4,18.8,AH0,191,Day,7/11/2014 18:21,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:21:05,4,18.8,AH0,135,Day,7/11/2014 18:21,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:22:00,4,18.8,AH0,74,Day,7/11/2014 18:22,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:22:03,4,18.8,AH0,75,Day,7/11/2014 18:22,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:22:22,4,18.9,AH0,56,Day,7/11/2014 18:22,22.7887811
150.189,MYSE,8322,7/15/2014,7/11/2014,18:22:25,4,18.8,AH0,93,Day,7/11/2014 18:22,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:22:41,4,18.8,AH0,85,Day,7/11/2014 18:22,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:22:44,4,18.8,AH0,88,Day,7/11/2014 18:22,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:23:00,4,18.8,AH0,85,Day,7/11/2014 18:23,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:23:04,4,18.8,AH0,85,Day,7/11/2014 18:23,22.5762208
150.189,MYSE,8322,7/15/2014,7/11/2014,18:23:20,4,18.7,AH0,91,Day,7/11/2014 18:23,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:24:27,4,18.7,AH0,94,Day,7/11/2014 18:24,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:24:30,4,18.7,AH0,96,Day,7/11/2014 18:24,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:24:49,4,18.7,AH0,95,Day,7/11/2014 18:24,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:24:53,4,18.7,AH0,94,Day,7/11/2014 18:24,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:25:09,4,18.7,AH0,93,Day,7/11/2014 18:25,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:25:12,4,18.7,AH0,84,Day,7/11/2014 18:25,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:25:28,4,18.7,AH0,93,Day,7/11/2014 18:25,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:25:31,4,18.7,AH0,81,Day,7/11/2014 18:25,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:25:47,4,18.7,AH0,84,Day,7/11/2014 18:25,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:25:50,4,18.7,AH0,83,Day,7/11/2014 18:25,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:26:09,4,18.7,AH0,84,Day,7/11/2014 18:26,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:26:13,4,18.7,AH0,85,Day,7/11/2014 18:26,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:26:29,4,18.7,AH0,89,Day,7/11/2014 18:26,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:26:32,4,18.7,AH0,97,Day,7/11/2014 18:26,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:26:48,4,18.7,AH0,93,Day,7/11/2014 18:26,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:26:51,4,18.7,AH0,87,Day,7/11/2014 18:26,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:27:07,4,18.7,AH0,99,Day,7/11/2014 18:27,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:27:10,4,18.7,AH0,77,Day,7/11/2014 18:27,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:27:27,4,18.7,AH0,93,Day,7/11/2014 18:27,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:27:30,4,18.7,AH0,88,Day,7/11/2014 18:27,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:27:33,4,18.7,AH0,90,Day,7/11/2014 18:27,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:27:49,4,18.7,AH0,94,Day,7/11/2014 18:27,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:27:52,4,18.7,AH0,95,Day,7/11/2014 18:27,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:28:08,4,18.7,AH0,89,Day,7/11/2014 18:28,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:28:11,4,18.7,AH0,93,Day,7/11/2014 18:28,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:28:28,4,18.7,AH0,76,Day,7/11/2014 18:28,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:28:31,4,18.7,AH0,73,Day,7/11/2014 18:28,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:28:47,4,18.7,AH0,88,Day,7/11/2014 18:28,22.3622137
150.189,MYSE,8322,7/15/2014,7/11/2014,18:28:50,4,18.7,AH0,79,Day,7/11/2014 18:28,22.3622137
