Day,Species,Bat freq,Datalogger,Date,BPM,Power,day_name,Time,date_time,Temp
Day,MYSE,150.227,8322,7/27/2014,31,190,Jul_27,15:53:29,7/27/14 15:53,34.655
Day,MYSE,150.227,8322,7/27/2014,31.1,188,Jul_27,15:53:31,7/27/14 15:53,34.821034
Day,MYSE,150.227,8322,7/27/2014,31.1,195,Jul_27,15:53:33,7/27/14 15:53,34.821034
Day,MYSE,150.227,8322,7/27/2014,31.1,196,Jul_27,15:53:35,7/27/14 15:53,34.821034
Day,MYSE,150.227,8322,7/27/2014,31.1,191,Jul_27,15:53:37,7/27/14 15:53,34.821034
Day,MYSE,150.227,8322,7/27/2014,31,195,Jul_27,15:54:29,7/27/14 15:54,34.655
Day,MYSE,150.227,8322,7/27/2014,31,195,Jul_27,15:54:31,7/27/14 15:54,34.655
Day,MYSE,150.227,8322,7/27/2014,31,192,Jul_27,15:54:33,7/27/14 15:54,34.655
Day,MYSE,150.227,8322,7/27/2014,31,191,Jul_27,15:54:35,7/27/14 15:54,34.655
Day,MYSE,150.227,8322,7/27/2014,31,183,Jul_27,15:54:37,7/27/14 15:54,34.655
Day,MYSE,150.227,8322,7/27/2014,31,198,Jul_27,15:55:29,7/27/14 15:55,34.655
Day,MYSE,150.227,8322,7/27/2014,31,198,Jul_27,15:55:31,7/27/14 15:55,34.655
Day,MYSE,150.227,8322,7/27/2014,31,197,Jul_27,15:55:33,7/27/14 15:55,34.655
Day,MYSE,150.227,8322,7/27/2014,31,199,Jul_27,15:55:35,7/27/14 15:55,34.655
Day,MYSE,150.227,8322,7/27/2014,31,197,Jul_27,15:56:29,7/27/14 15:56,34.655
Day,MYSE,150.227,8322,7/27/2014,31,199,Jul_27,15:56:31,7/27/14 15:56,34.655
Day,MYSE,150.227,8322,7/27/2014,31,197,Jul_27,15:56:33,7/27/14 15:56,34.655
Day,MYSE,150.227,8322,7/27/2014,31,198,Jul_27,15:56:35,7/27/14 15:56,34.655
Day,MYSE,150.227,8322,7/27/2014,30.9,201,Jul_27,15:57:30,7/27/14 15:57,34.486226
Day,MYSE,150.227,8322,7/27/2014,30.9,200,Jul_27,15:57:31,7/27/14 15:57,34.486226
Day,MYSE,150.227,8322,7/27/2014,31,196,Jul_27,15:57:33,7/27/14 15:57,34.655
Day,MYSE,150.227,8322,7/27/2014,31,199,Jul_27,15:57:35,7/27/14 15:57,34.655
Day,MYSE,150.227,8322,7/27/2014,31.1,194,Jul_27,15:58:29,7/27/14 15:58,34.821034
Day,MYSE,150.227,8322,7/27/2014,31.1,193,Jul_27,15:58:31,7/27/14 15:58,34.821034
Day,MYSE,150.227,8322,7/27/2014,31.1,191,Jul_27,15:58:33,7/27/14 15:58,34.821034
Day,MYSE,150.227,8322,7/27/2014,31.1,190,Jul_27,15:58:35,7/27/14 15:58,34.821034
Day,MYSE,150.227,8322,7/27/2014,31.2,195,Jul_27,15:59:29,7/27/14 15:59,34.984352
Day,MYSE,150.227,8322,7/27/2014,31.2,193,Jul_27,15:59:31,7/27/14 15:59,34.984352
Day,MYSE,150.227,8322,7/27/2014,31.2,195,Jul_27,15:59:33,7/27/14 15:59,34.984352
Day,MYSE,150.227,8322,7/27/2014,31.2,195,Jul_27,15:59:35,7/27/14 15:59,34.984352
Day,MYSE,150.227,8322,7/27/2014,31.2,193,Jul_27,15:59:37,7/27/14 15:59,34.984352
Day,MYSE,150.227,8322,7/27/2014,30.9,194,Jul_27,16:00:29,7/27/14 16:00,34.486226
Day,MYSE,150.227,8322,7/27/2014,30.9,195,Jul_27,16:00:31,7/27/14 16:00,34.486226
Day,MYSE,150.227,8322,7/27/2014,30.9,202,Jul_27,16:00:33,7/27/14 16:00,34.486226
Day,MYSE,150.227,8322,7/27/2014,30.9,205,Jul_27,16:00:35,7/27/14 16:00,34.486226
Day,MYSE,150.227,8322,7/27/2014,30.9,202,Jul_27,16:00:37,7/27/14 16:00,34.486226
Day,MYSE,150.227,8322,7/27/2014,31,197,Jul_27,16:01:29,7/27/14 16:01,34.655
Day,MYSE,150.227,8322,7/27/2014,31,194,Jul_27,16:01:31,7/27/14 16:01,34.655
Day,MYSE,150.227,8322,7/27/2014,31,197,Jul_27,16:01:33,7/27/14 16:01,34.655
Day,MYSE,150.227,8322,7/27/2014,31,195,Jul_27,16:01:35,7/27/14 16:01,34.655
Day,MYSE,150.227,8322,7/27/2014,31,194,Jul_27,16:01:37,7/27/14 16:01,34.655
Day,MYSE,150.227,8322,7/27/2014,30.7,192,Jul_27,16:02:29,7/27/14 16:02,34.140362
Day,MYSE,150.227,8322,7/27/2014,30.7,203,Jul_27,16:02:31,7/27/14 16:02,34.140362
Day,MYSE,150.227,8322,7/27/2014,30.7,195,Jul_27,16:02:33,7/27/14 16:02,34.140362
Day,MYSE,150.227,8322,7/27/2014,30.7,194,Jul_27,16:02:35,7/27/14 16:02,34.140362
Day,MYSE,150.227,8322,7/27/2014,30.8,196,Jul_27,16:03:42,7/27/14 16:03,34.314688
Day,MYSE,150.227,8322,7/27/2014,30.8,192,Jul_27,16:03:44,7/27/14 16:03,34.314688
