bat_id,datalogger,download_date,date,time,channel,BPM,power,skin_temp,time_of_day,sex,repro,age,species
150.271,8323,8/5/2014,8/3/2014,19:34:24,7,25.2,163,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:34:46,7,25.2,157,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:34:49,7,25.2,151,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:34:51,7,25.3,161,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:35:17,7,25.3,157,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:35:20,7,25.2,159,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:35:22,7,25.2,155,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:35:46,7,25.2,151,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:35:48,7,25.2,155,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:35:51,7,25.2,159,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:36:17,7,25.2,152,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:36:19,7,25.2,153,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:36:22,7,25.2,152,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:36:48,7,25.2,155,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:36:50,7,25.2,155,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:36:52,7,25.2,154,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:37:16,7,25.2,153,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:37:19,7,25.2,153,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:37:21,7,25.2,153,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:37:47,7,25.2,156,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:37:49,7,25.2,155,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:37:52,7,25.3,157,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:38:16,7,25.3,157,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:38:18,7,25.2,141,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:38:20,7,25.3,146,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:38:23,7,25.2,147,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:38:47,7,25.3,149,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:38:49,7,25.3,146,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:38:51,7,25.3,146,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:39:17,7,25.3,152,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:39:20,7,25.3,152,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:39:22,7,25.3,153,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:39:46,7,25.3,157,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:39:48,7,25.3,155,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:39:51,7,25.3,153,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:40:17,7,25.3,154,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:40:19,7,25.3,153,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:40:22,7,25.3,159,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:40:45,7,25.4,157,22.2936704,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:40:48,7,25.3,157,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:40:50,7,25.3,161,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:40:52,7,25.3,159,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:41:16,7,25.3,160,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:41:19,7,25.3,161,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:41:21,7,25.3,159,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:41:47,7,25.3,164,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:41:49,7,25.3,162,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:41:52,7,25.3,165,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:42:16,7,25.3,159,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:42:18,7,25.3,160,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:42:20,7,25.3,155,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:42:23,7,25.5,158,22.61795,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:42:46,7,25.3,168,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:42:49,7,25.3,164,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:42:51,7,25.3,167,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:43:17,7,25.3,163,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:43:20,7,25.3,157,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:43:22,7,25.3,156,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:43:46,7,25.3,156,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:43:48,7,25.3,158,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:43:51,7,25.3,156,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:44:17,7,25.3,162,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:44:19,7,25.3,166,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:44:21,7,25.3,164,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:44:45,7,25.4,145,22.2936704,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:44:48,7,25.3,145,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:44:50,7,25.3,148,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:44:52,7,25.3,144,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:45:16,7,25.3,137,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:45:18,7,25.2,143,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:45:21,7,25.2,137,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:45:47,7,25.2,130,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:45:49,7,25.2,136,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:45:52,7,25.2,137,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:46:16,7,25.2,141,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:46:18,7,25.2,142,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:46:20,7,25.2,143,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:46:23,7,25.2,149,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:46:46,7,25.2,156,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:46:49,7,25.2,156,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:46:51,7,25.2,151,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:47:17,7,25.2,152,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:47:20,7,25.2,151,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:47:22,7,25.2,150,21.6341888,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:47:46,7,25.3,153,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:47:48,7,25.3,154,21.9657572,Day,M,NR,A,MYSO
150.271,8323,8/5/2014,8/3/2014,19:47:51,7,25.3,153,21.9657572,Day,M,NR,A,MYSO
