ref,Frequency,Datalogger,Download Date,Date,Time,Channel,BPM,Antenna,Power,Activity ,Tree,Time Change,Time>1min,BPM Change
1,151.312,8322,6/22/15,6/18/15,18:14:09,9,31.9,AH0,156,Roosting,GSM2015-19,0:00:00,0,0
2,151.312,8322,6/22/15,6/18/15,18:14:11,9,31.9,AH0,176,Roosting,GSM2015-19,0:00:02,0,0
3,151.312,8322,6/22/15,6/18/15,18:14:13,9,31.9,AH0,176,,,0:00:02,0,0
4,151.312,8322,6/22/15,6/18/15,18:14:15,9,31.9,AH0,179,,,0:00:02,0,0
5,151.312,8322,6/22/15,6/18/15,18:14:30,9,31.9,AH0,180,,,0:00:15,0,0
6,151.312,8322,6/22/15,6/18/15,18:14:31,9,31.9,AH0,182,,,0:00:01,0,0
7,151.312,8322,6/22/15,6/18/15,18:14:33,9,31.9,AH0,182,,,0:00:02,0,0
8,151.312,8322,6/22/15,6/18/15,18:14:35,9,31.9,AH0,182,,,0:00:02,0,0
9,151.312,8322,6/22/15,6/18/15,18:14:48,9,31.9,AH0,177,,,0:00:13,0,0
10,151.312,8322,6/22/15,6/18/15,18:14:50,9,31.9,AH0,179,,,0:00:02,0,0
11,151.312,8322,6/22/15,6/18/15,18:14:52,9,31.8,AH0,182,,,0:00:02,0,0
12,151.312,8322,6/22/15,6/18/15,18:14:54,9,31.9,AH0,181,,,0:00:02,0,0
13,151.312,8322,6/22/15,6/18/15,18:14:56,9,31.9,AH0,183,,,0:00:02,0,0
14,151.312,8322,6/22/15,6/18/15,18:15:09,9,31.9,AH0,182,,,0:00:13,0,0
15,151.312,8322,6/22/15,6/18/15,18:15:11,9,31.8,AH0,184,,,0:00:02,0,0
16,151.312,8322,6/22/15,6/18/15,18:15:13,9,31.9,AH0,180,,,0:00:02,0,0
17,151.312,8322,6/22/15,6/18/15,18:15:15,9,31.8,AH0,183,,,0:00:02,0,0
18,151.312,8322,6/22/15,6/18/15,18:15:28,9,31.9,AH0,180,,,0:00:13,0,0
19,151.312,8322,6/22/15,6/18/15,18:15:30,9,31.9,AH0,185,,,0:00:02,0,0
20,151.312,8322,6/22/15,6/18/15,18:15:32,9,31.9,AH0,184,,,0:00:02,0,0
21,151.312,8322,6/22/15,6/18/15,18:15:34,9,31.9,AH0,185,,,0:00:02,0,0
22,151.312,8322,6/22/15,6/18/15,18:15:35,9,31.9,AH0,185,,,0:00:01,0,0
