ref,Frequency,Datalogger,Download Date,Date,Time,Channel,BPM,Antenna,Power,Activity,Tree,Time Change,Time>1min,BPM Change
1,151.909,8443,6/3/15,5/24/15,14:39:16,7,30.8,AH0,254,Roosting,GSM2015-08,0:00:00,0,0
2,151.909,8443,6/3/15,5/24/15,14:39:17,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:01,0,0
3,151.909,8443,6/3/15,5/24/15,14:39:19,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
4,151.909,8443,6/3/15,5/24/15,14:39:21,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
5,151.909,8443,6/3/15,5/24/15,14:39:35,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:14,0,0
6,151.909,8443,6/3/15,5/24/15,14:39:37,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
7,151.909,8443,6/3/15,5/24/15,14:39:39,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
8,151.909,8443,6/3/15,5/24/15,14:39:41,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
9,151.909,8443,6/3/15,5/24/15,14:39:43,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
10,151.909,8443,6/3/15,5/24/15,14:39:55,7,45.9,AH0,255,Roosting,GSM2015-08,0:00:12,0,1
11,151.909,8443,6/3/15,5/24/15,14:39:56,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:01,0,1
12,151.909,8443,6/3/15,5/24/15,14:39:58,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
13,151.909,8443,6/3/15,5/24/15,14:40:00,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
14,151.909,8443,6/3/15,5/24/15,14:40:02,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
15,151.909,8443,6/3/15,5/24/15,14:40:16,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:14,0,0
16,151.909,8443,6/3/15,5/24/15,14:40:18,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
17,151.909,8443,6/3/15,5/24/15,14:40:20,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
18,151.909,8443,6/3/15,5/24/15,14:40:22,7,30.8,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
19,151.909,8443,6/3/15,5/24/15,14:40:35,7,30.7,AH0,254,Roosting,GSM2015-08,0:00:13,0,0
20,151.909,8443,6/3/15,5/24/15,14:40:37,7,30.7,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
21,151.909,8443,6/3/15,5/24/15,14:40:39,7,30.7,AH0,254,Roosting,GSM2015-08,0:00:02,0,0
22,151.909,8443,6/3/15,5/24/15,14:40:41,7,30.7,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
23,151.909,8443,6/3/15,5/24/15,14:40:55,7,30.7,AH0,255,Roosting,GSM2015-08,0:00:14,0,0
24,151.909,8443,6/3/15,5/24/15,14:40:57,7,30.7,AH0,255,Roosting,GSM2015-08,0:00:02,0,0
